Franchise,Title,Release Date,Budget,Revenue,Vote Average,Vote Count,Popularity,Year,IMDb ID,Net Profit,ROI Multiplier,Rotten Tomatoes
MCU,The Avengers,2012-04-25,220000000,1518815515,8.0,38546,41.9839,2012,tt0848228,1298815515,6.9,91
MCU,Thor: The Dark World,2013-10-30,170000000,644783140,6.512,18386,11.4099,2013,tt1981115,474783140,3.79,67
DC,Man of Steel,2013-06-12,225000000,668045518,6.651,16276,15.3454,2013,tt0770828,443045518,2.97,56
MCU,Iron Man 3,2013-04-18,200000000,1215577205,6.933,23498,16.2299,2013,tt1300854,1015577205,6.08,79
MCU,Captain America: The Winter Soldier,2014-03-20,170000000,714766572,7.656,20077,8.4538,2014,tt1843866,544766572,4.2,90
MCU,Guardians of the Galaxy,2014-07-30,170000000,772776600,7.906,29818,9.1619,2014,tt2015381,602776600,4.55,91
MCU,Avengers: Age of Ultron,2015-04-22,235000000,1405403694,7.274,24538,25.3924,2015,tt2395427,1170403694,5.98,75
MCU,Ant-Man,2015-07-14,130000000,519311965,7.066,20920,11.8261,2015,tt0478970,389311965,3.99,83
DC,Batman v Superman: Dawn of Justice,2016-03-23,250000000,874362803,6.004,19070,17.2596,2016,tt2975590,624362803,3.5,28
MCU,Captain America: Civil War,2016-04-27,250000000,1155046416,7.449,24108,17.8893,2016,tt3498820,905046416,4.62,90
MCU,Doctor Strange,2016-10-25,180000000,676343174,7.422,23503,14.394,2016,tt1211837,496343174,3.76,89
DC,Suicide Squad,2016-08-03,175000000,749200054,5.917,22155,8.4713,2016,tt1386697,574200054,4.28,26
MCU,Spider-Man: Homecoming,2017-07-05,175000000,880978185,7.3,23260,27.8756,2017,tt2250912,705978185,5.03,92
MCU,Guardians of the Galaxy Vol. 2,2017-04-25,200000000,863756051,7.61,23006,12.3444,2017,tt3896198,663756051,4.32,85
DC,Justice League,2017-11-15,300000000,661326987,6.073,13709,11.6912,2017,tt0974015,361326987,2.2,39
MCU,Thor: Ragnarok,2017-10-02,180000000,855301806,7.581,22085,16.1385,2017,tt3501632,675301806,4.75,93
DC,Wonder Woman,2017-05-30,149000000,823970682,7.208,20951,10.3414,2017,tt0451279,674970682,5.53,93
MCU,Ant-Man and the Wasp,2018-07-04,140000000,622674139,6.902,14233,8.9936,2018,tt5095030,482674139,4.45,87
MCU,Avengers: Infinity War,2018-04-25,300000000,2052415039,8.237,32177,54.7009,2018,tt4154756,1752415039,6.84,85
MCU,Black Panther,2018-02-13,200000000,1349926083,7.364,23560,17.1478,2018,tt1825683,1149926083,6.75,96
DC,Aquaman,2018-12-07,160000000,1152028393,6.868,14957,11.5424,2018,tt1477834,992028393,7.2,66
MCU,Spider-Man: Far From Home,2019-06-28,160000000,1132723226,7.4,17040,22.0243,2019,tt6320628,972723226,7.08,91
MCU,Avengers: Endgame,2019-04-24,356000000,2799439100,8.2,27923,31.2626,2019,tt4154796,2443439100,7.86,94
DC,Shazam!,2019-03-29,80000000,367799011,6.976,10238,9.4252,2019,tt0448115,287799011,4.6,90
MCU,Captain Marvel,2019-03-06,152000000,1131416446,6.78,16803,11.7287,2019,tt4154664,979416446,7.44,79
DC,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020-02-05,75000000,205537933,6.873,10848,8.2576,2020,tt7713068,130537933,2.74,79
DC,Wonder Woman 1984,2020-12-16,200000000,169601036,6.364,9087,7.9616,2020,tt7126948,-30398964,0.85,57
MCU,Eternals,2021-11-03,200000000,402064899,6.77,9186,10.6323,2021,tt9032400,202064899,2.01,48
MCU,Spider-Man: No Way Home,2021-12-15,200000000,2019206586,7.934,22130,50.5449,2021,tt10872600,1819206586,10.1,93
DC,The Suicide Squad,2021-07-28,185000000,168717425,7.5,9641,15.076,2021,tt6334354,-16282575,0.91,N/A
MCU,Shang-Chi and the Legend of the Ten Rings,2021-09-01,150000000,432243292,7.495,10447,12.7982,2021,tt9376612,282243292,2.88,92
MCU,Black Widow,2021-07-07,200000000,379751131,7.166,11290,11.2819,2021,tt3480822,179751131,1.9,79
MCU,Black Panther: Wakanda Forever,2022-11-09,250000000,859102154,7.005,7514,12.4872,2022,tt9114286,609102154,3.44,84
MCU,Doctor Strange in the Multiverse of Madness,2022-05-04,290000000,955775804,7.231,10410,15.8211,2022,tt9419884,665775804,3.3,73
MCU,Thor: Love and Thunder,2022-07-06,250000000,760928081,6.367,8610,11.4739,2022,tt10648342,510928081,3.04,64
DC,Black Adam,2022-10-19,200000000,393452111,6.798,7061,13.6846,2022,tt6443346,193452111,1.97,39
DC,Aquaman and the Lost Kingdom,2023-12-20,205000000,440181226,6.525,3519,17.7293,2023,tt9663764,235181226,2.15,33
MCU,Ant-Man and the Wasp: Quantumania,2023-02-15,326600000,476071180,6.228,5880,8.6721,2023,tt10954600,149471180,1.46,46
MCU,Guardians of the Galaxy Vol. 3,2023-05-03,250000000,845550000,7.9,8414,17.2343,2023,tt6791350,595550000,3.38,82
MCU,The Marvels,2023-11-08,274800000,206136825,5.936,3429,9.4386,2023,tt10676048,-68663175,0.75,63
DC,Blue Beetle,2023-08-16,104000000,130788072,6.634,3137,8.8752,2023,tt9362930,26788072,1.26,78
DC,Shazam! Fury of the Gods,2023-03-15,110000000,134221819,6.417,3662,8.5921,2023,tt10151854,24221819,1.22,49
DC,The Flash,2023-06-13,220000000,271333313,6.619,5038,16.9805,2023,tt0439572,51333313,1.23,63
MCU,Deadpool & Wolverine,2024-07-24,200000000,1338073645,7.575,8831,33.0425,2024,tt6263850,1138073645,6.69,77
MCU,Thunderbolts*,2025-04-30,180000000,382436917,7.3,3610,18.1537,2025,tt20969586,202436917,2.12,88
MCU,The Fantastic 4: First Steps,2025-07-23,229600000,521858728,7.0,3444,23.0568,2025,tt10676052,292258728,2.27,N/A
MCU,Captain America: Brave New World,2025-02-12,180000000,415101577,6.0,3139,12.7236,2025,tt14513804,235101577,2.31,46
