Franchise,Series Title,First Air Date,Year,Total Seasons,Total Episodes,Vote Average,Popularity
MCU,Marvel's Agents of S.H.I.E.L.D.,2013-09-24,2013,7,136,7.479,65.133
MCU,Marvel's Daredevil,2015-04-10,2015,3,39,8.17,43.0876
MCU,WHIH Newsfront,2015-07-02,2015,2,10,6.2,3.8565
MCU,Marvel's Agent Carter,2015-01-06,2015,2,18,7.523,15.1472
MCU,Marvel's Jessica Jones,2015-11-20,2015,3,39,7.479,20.8929
MCU,Marvel's Agents of S.H.I.E.L.D.: Slingshot,2016-12-13,2016,1,6,7.093,3.6684
MCU,Marvel's Luke Cage,2016-09-30,2016,2,26,6.922,17.0096
MCU,Marvel's Iron Fist,2017-03-17,2017,2,23,6.517,5.336
MCU,Marvel's Inhumans,2017-09-29,2017,1,8,5.852,7.3702
MCU,Marvel's The Defenders,2017-08-18,2017,1,8,7.048,9.3649
MCU,Marvel's Runaways,2017-11-21,2017,3,33,7.284,11.9276
MCU,Marvel's The Punisher,2017-11-17,2017,2,26,8.1,49.6503
MCU,Marvel's Cloak & Dagger,2018-06-07,2018,2,20,7.093,7.2648
MCU,Helstrom,2020-10-16,2020,1,10,6.683,6.7939
MCU,WandaVision,2021-01-15,2021,1,9,8.188,23.2525
MCU,The Falcon and the Winter Soldier,2021-03-19,2021,1,6,7.596,14.6223
MCU,Loki,2021-06-09,2021,2,12,8.17,33.5494
MCU,Hawkeye,2021-11-24,2021,1,6,7.788,23.6387
MCU,Marvel Studios Legends,2021-01-08,2021,2,46,7.4,15.5078
DC,Peacemaker,2022-01-13,2022,2,16,8.194,52.686
MCU,She-Hulk: Attorney at Law,2022-08-18,2022,1,9,6.094,11.8998
MCU,Ms. Marvel,2022-06-08,2022,1,6,6.281,12.4028
MCU,Moon Knight,2022-03-30,2022,1,6,7.645,24.6988
MCU,Secret Invasion,2023-06-21,2023,1,6,6.482,12.5763
MCU,Agatha All Along,2024-09-18,2024,1,9,7.45,13.1914
MCU,Echo,2024-01-09,2024,1,5,6.046,11.7859
MCU,Daredevil: Born Again,2025-03-04,2025,2,17,8.2,45.35
MCU,Ironheart,2025-06-24,2025,1,6,5.308,14.1718
MCU,VisionQuest,2026-10-14,2026,1,8,0.0,3.9527
